Metric,Train_MLP,Test_MLP,Train_SVM,Test_SVM
Accuracy,0.7914338919925512,0.7229437229437229,0.7802607076350093,0.7359307359307359
Precision,0.7904717146230088,0.7173169248640947,0.783931413053807,0.7267842852194449
Recall,0.7914338919925512,0.7229437229437229,0.7802607076350093,0.7359307359307359
F1 Score,0.7909067742671395,0.7192276879882992,0.7645124746859531,0.7245673526716804




