Metric,Train,Test
Accuracy,0.7672253258845437,0.7445887445887446
Precision,0.7617931156753571,0.7487346121512117
Recall,0.7672253258845437,0.7445887445887446
F1 Score,0.7617165890390131,0.7463086857026251







